nombre,razon_social,domicilio,colonia,poblacion
GASOL RICARDO CRUZ A,CRUZ AGUILERA RICARDO,KM 0.5 CARR ABAS ESTAC JOAQUIN,JUAREZ,ABASOLO GTO
MULTISERVICIOS ABASOLO,MULTISERVICIOS ABASOLO SA CV  ,CARR 90 IRAP GUAD KM 26600,RCHO SAN ISIDRO,ABASOLO GTO
RICARDO CRUZ A,CRUZ AGUILERA RICARDO,LERDO OTE NO 621,CENTRO,ABASOLO GTO
SERV FYPSA,SERV Y AUTOPARTES FYPSA SRL CV,LERDO OTE NO 519,CENTRO,ABASOLO GTO
SERV SAN ISIDRO,CRUZ AGUILERA RICARDO,CARR IRAPUATO LA PIEDAD KM27,CENTRO,ABASOLO GTO
SERVIEXPRESS DELFINES ,SERVIEXPRESS DELFINES SA CV,CARR IRAPUATO LA PIEDAD KM 34,EL TEPOCATE,ABASOLO GTO
SERV SANTA ISABEL,CERVANTES LOPEZ JOSE O,CARR FED T AMOZOC  KM 20 560,SANTA ISABEL TEPETZ,ACAJETE PUE
COMBUSTIBLE D ACAMBARO,COMBUSTIBLES DE ACAMBARO SACV ,CARR ACAMBARO MORELIA NO 469 B,SN ISIDRO,ACAMBARO GTO
MULTISERV EL TORNERO  ,MULTISERVICIOS EL TORNERO SACV,RCHO EL TORNERO KM 9,SAN JOSE DE MEDINA,ACAMBARO GTO
SERV ACAMBARO,SER ACAMBARO SACV,PROL V GUERRERO NO 184,RANCHO GRANDE,ACAMBARO GTO
SERV GUERRERO DE ACAM ,SERV GUERRERO DE ACAM SA CV,CARR ACAMBARO SALVAT KM 3.5,RANCHO GRANDE,ACAMBARO GTO
GASOL CRIMER,CRIMER SA CV,CARR TOLUCA QRO KM 146,ACAMBAY,ACAMBAY EM
SERV SIERRA HERMANOS  ,SERV SIERRA HERMANOS SA CV,CARR INTNAL MEX NOGALE KM 1042,CENTRO,ACAPONETA NAY
APTO DE ACAPULCO,AEROPUERTOS Y SERV AUXILIARES ,BLVD DE LAS NACIONES SN,MUNICIPIO PLAN DE LOS AMANTES,ACAPULCO GRO
CIMOVI ES,SERVICIO CIMOVI SA CV,CARR CAYACO P MARQUEZ NO 109,LLANO LARGO,ACAPULCO GRO
CONSORCIO GASOL DARCEL,CONSORCIO GASOL DARCEL SA CV  ,CARR ESCENICA LTE NO 1 MZ 1,BRISAMAR,ACAPULCO GRO
EST SERV TUZINGO,EST SERV TUZINGO SA CV,CARR ACAPULCO PINOTEPA KM 8,TUNCINGO,ACAPULCO GRO
ESTACION SERV FLORIDA ,ESTACION SERV FLORIDA SA CV,AV BAJA CALIFORNIA SN L 51 52,PROGRESO,ACAPULCO GRO
GASOL CLUB DE YATES,CLUB DE YATES ACAPULCO AC,GRAN VIA TROPICAL SN Y TAMBUCO,FRACC LAS PLAYAS,ACAPULCO GRO
GASOL DETER,ARREDONDO VILLANUEVA HNOS SA  ,KM 394 CARR NAL MEX ACAPULCO,LAS CRUCES,ACAPULCO GRO
GASOL LOS ORGANOS,GASOL LOS ORGANOS SA CV,CARR NAL ACAPULCO  MEX KM 15,LOS ORGANOS,ACAPULCO GRO
GASOL MAGALLANES,SERV MAGALLANES SA CV,AV WILFRIDO MASSIEU NO 8 304,FRACC MAGALLANES,ACAPULCO GRO
GASOL MODELO,ALCARAZ SOBERANIS SA CV,AQUILES SERDAN Y CJON LIMA SN,CENTRO,ACAPULCO GRO
GASOL SERVI FER,SERVI FER SA CV,AV LAZARO CARDENAS NO 1,LA MAQUINA,ACAPULCO GRO
LIBERTADORES,SERV LIBERTADORES SA CV,BLVD J LOPEZ PORTILLO LT23 MZ3,LIBERTADORES,ACAPULCO GRO
OES ACAPULCO,OPER D ESTACIO D SERV ACA SACV,CONSTITUYENTES,BELLA VISTA,ACAPULCO GRO
SERV CAYACO,SERVICIO CAYACO SA CV,CARR NAL ACAP PINOTEPA KM 45.1,CAYACO,ACAPULCO GRO
SERV DIAMANTE,SERVICIO DIAMANTE SA CV,BLVD DE LAS NACIONES NO 1 Y 2,FRACC GRANJAS DEL MARQUEZ,ACAPULCO GRO
SERV MANTARRAYA,SERV MANTARRAYA SA CV,BLVD DLAS NACIONES KM 10.5 90,JARDIN DE LOS AMATES,ACAPULCO GRO
SERV MANTARRAYA DEB,SERV MANTARRAYA SACV,BLVD DLAS NACIONES KM 10.5 90,FRACC JARDIN PRINCESA,ACAPULCO GRO
SERV GONZALEZ,GONZALEZ MEDINA ANTONIO,CARR TULANCINGO HUSCA KM 11 SN,ALMOLOYA,ACATLAN HGO
SERV MODELO,LOPEZ DOMINGUEZ RAFAEL,CARR FED ENT LIB VIA JALAPA,CENTRO,ACATZINGO PUE
SERV G Y G,GARCIA Y GARCIA JOSE LUIS,CARR MEX TUXPAN KM 166,VENTA QUEMADA,ACAXOCHITLAN HGO
SERV G Y G DEB,GARCIA Y GARCIA JOSE LUIS,CARR MEX TUXPAN KM 166,VENTA QUEMADA,ACAXOCHITLAN HGO
GAS MABARAK,GAS DEL GOLFO D MEXICO SA CV  ,CARR FEDERAL 180 KM 225 SN,ALEMAN MIGUEL,ACAYUCAN VER
SERVI FACIL,SERV FACIL DEL SURESTE SA CV  ,CARR COSTERA DEL GOLFO KM 226,CENTRO,ACAYUCAN VER
OPER GASOIL,OPER GASOIL SA CV,CARR MEX TEOTIHUACAN KM 34.5,TEPEXPAN,ACOLMAN EM
GASOL ESTACION 0677,SERVS EMPR Y ADMIVOS HGO SA CV,CARR MEXICO LAREDO KM 118,CENTRO,ACTOPAN HGO
GASOL ESTACION 5654,GRUPO GASOLINERO DE HGO SA CV ,CARR MEXICO LAREDO KM 121.7,CENTRO,ACTOPAN HGO
GASOLUB JIADHI DEB,GASOLUB SA CV,CARR MEXICO LAREDO KM 115,EL JIADI ACTOPAN,ACTOPAN HGO
