ESTACIÓN DE SERVICIO,RAZÓN SOCIAL,DOMICILIO,ENTIDAD FEDERATIVA,MUNICIPIO,EXPEDIENTE,FECHA DE VERIFICACIÓN,SEMAFORO AL 18 DE SEPTIEMBRE DE 2012
10000,"SERVICIOS LAGUNA, S. A. DE C. V.                                                                                                                                                                                                                               ",MANZANA 08 LOTE 1-01                                                                                                                                                                                                                                           ,QUINTANA ROO             ,BENITO JUAREZ                                                                                                                                                                                                                                                  ,02/006077-2012                                    ,26/03/2012,VERDE
10007,"MEGASERVICIOS, S. A. DE C. V.                                                                                                                                                                                                                                  ",CALLE 51 X 38 Y 40 NO. 68 K                                                                                                                                                                                                                                    ,YUCATAN                  ,OXKUTZCAB                                                                                                                                                                                                                                                      ,14/009741-2012                                    ,14/05/2012,VERDE
10008,GRUPO GARCIA MONTANO S.A. DE C.V.                                                                                                                                                                                                                              ,AV. BRASIL # 2858                                                                                                                                                                                                                                              ,BAJA CALIFORNIA          ,MEXICALI                                                                                                                                                                                                                                                       ,10/015157-2012                                    ,03/08/2012,VERDE
10009,"SERVICIO CAZADORA, S.A. DE C.V.                                                                                                                                                                                                                                ",AVENIDA CAZADORA NO. 2117                                                                                                                                                                                                                                      ,GUANAJUATO               ,SALAMANCA                                                                                                                                                                                                                                                      ,14/006617-2012                                    ,23/03/2012,AMARILLO
10013,"SERVICIO EL ONCE, S.A. DE C.V.                                                                                                                                                                                                                                 ",CARRETERA TOLUCA-MEXICO KM. 52.5                                                                                                                                                                                                                               ,MEXICO                   ,SAN MATEO ATENCO                                                                                                                                                                                                                                               ,15/007351-2012                                    ,14/04/2012,VERDE
10016,"COMBUSTIBLE HUAMANTLA, S.A. DE C.V.                                                                                                                                                                                                                            ",BOULEVARD 5 DE MAYO NO. 265                                                                                                                                                                                                                                    ,TLAXCALA                 ,HUAMANTLA                                                                                                                                                                                                                                                      ,23/011133-2012                                    ,21/05/2012,VERDE
10019,"GRUPO GASOLINERO HEROES POTOSINOS, S.A. DE C.V.                                                                                                                                                                                                                ",HEROES POTOSINOS NO. 321                                                                                                                                                                                                                                       ,SAN LUIS POTOSI          ,RIO VERDE                                                                                                                                                                                                                                                      ,23/015736-2012                                    ,10/08/2012,VERDE
10022,"COMERCIALIZADORA DE INSUMOS, PRODUCTOS Y SERVICIOS AGROPECUARIOS, S.A. DE C.V.                                                                                                                                                                                 ",CARRETERA  MATAMOROS  VICTORIA KM. 256+313                                                                                                                                                                                                                     ,TAMAULIPAS               ,MATAMOROS                                                                                                                                                                                                                                                      ,17/013023-2012                                    ,25/06/2012,VERDE
10025,EZEQUIEL RIVERA VALENCIA                                                                                                                                                                                                                                       ,PROFAS. SANCHEZ Y BURROLA Y LUIS D. COLOSIO ESQ.                                                                                                                                                                                                               ,SONORA                   ,CABORCA                                                                                                                                                                                                                                                        ,10/005720-2012                                    ,28/03/2012,VERDE
10026,HECTOR AGUILAR LUIS                                                                                                                                                                                                                                            ,CARRETERA INTERNACIONAL CRISTOBAL COLON KM.- 28+60                                                                                                                                                                                                             ,OAXACA                   ,TLACOLULA DE MATAMOROS                                                                                                                                                                                                                                         ,21/012712-2012                                    ,15/06/2012,ROJO
10029,"PETROMAX, S.A. DE C.V.                                                                                                                                                                                                                                         ",AV. BENITO JUAREZ S/N ESQ. AV. DEL FEDERALISMO                                                                                                                                                                                                                 ,NUEVO LEON               ,GUADALUPE                                                                                                                                                                                                                                                      ,16/015367-2012                                    ,10/08/2012,VERDE
10031,ENERGETICOS DE RAYON S.A. DE C.V.                                                                                                                                                                                                                              ,AV. MIGUEL HIDALGO NO. 17                                                                                                                                                                                                                                      ,SAN LUIS POTOSI          ,RAYON                                                                                                                                                                                                                                                          ,23/015717-2012                                    ,13/08/2012,VERDE
